State,Clinton,Trump
Alabama,34.70,62.70
Alaska,37.60,52.80
Arizona,45.50,49
Arkansas,33.70,60.60
California,62.30,31.90
Colorado,48.20,43.30
Connecticut,54.70,41
Delaware,53.40,41.90
Florida,47.80,49
Georgia,45.90,51
Hawaii,62.20,30
Idaho,27.50,59.30
Illinois,56,38.90
Indiana,37.90,57.20
Iowa,42.20,51.70
Kansas,36.30,57
Kentucky,32.70,62.50
Louisiana,38.40,58.10
Maine,48,45
Maryland,61.30,34.50
Massachusetts,61,33.30
Michigan,47.40,47.60
Minnesota,46.90,45.30
Mississippi,40.10,57.90
Missouri,38.20,56.90
Montana,35.90,56.50
Nebraska,34.40,59.90
Nevada,47.90,45.50
New Hampshire,47.60,47.20
New Jersey,55.50,41.40
New Mexico,48.30,40
New York,59.50,36.80
North Carolina,46.80,50.50
North Dakota,27.70,64.10
Ohio,43.70,51.80
Oklahoma,28.90,65.30
Oregon,52,40.60
Pennsylvania,47.90,48.60
Rhode Island,55.50,39.70
South Carolina,40.70,54.90
South Dakota,31.70,61.50
Tennessee,34.90,61.10
Texas,43.50,52.50
Utah,27.50,45.50
Vermont,61.10,32.60
Virginia,50.20,44.80
Washington,54.30,38.10
West Virginia,26.50,68.60
Wisconsin,47,47.80
Wyoming,22.50,70.10
